Nomenclator de Galicia. Ano 2017;;;;;;;;;;
Recuperados 382 rexistros;;;;;;;;;;
;;;;;;;;;;
PRO;CON;EC;ES;NUC;PROVINCIA;CONCELLO;NOME;TOTAL;HOMES;MULLERES
36;24;10;2;0;PONTEVEDRA;LALÍN;O CASTELO;45;17;28
36;24;10;3;0;PONTEVEDRA;LALÍN;LAMAS;38;20;18
36;24;11;0;0;PONTEVEDRA;LALÍN;CAMPOSANCOS (SAN CRISTOVO);77;36;41
36;24;11;1;0;PONTEVEDRA;LALÍN;CAMPOSANCOS;26;12;14
36;24;11;2;0;PONTEVEDRA;LALÍN;CHARES DE OUTEIRO;6;1;5
36;24;11;3;0;PONTEVEDRA;LALÍN;A GOLETA;45;23;22
36;24;12;0;0;PONTEVEDRA;LALÍN;CANGAS (SANTA MARIÑA);77;41;36
36;24;12;1;0;PONTEVEDRA;LALÍN;CANCELAS;32;17;15
36;24;12;2;0;PONTEVEDRA;LALÍN;CANGAS;26;13;13
36;24;12;3;0;PONTEVEDRA;LALÍN;MONTRIGO;19;11;8
36;24;13;0;0;PONTEVEDRA;LALÍN;CASTRO DE CABRAS (SAN PEDRO);95;50;45
36;24;13;1;0;PONTEVEDRA;LALÍN;CASTRO;41;20;21
36;24;13;2;0;PONTEVEDRA;LALÍN;FROXÁN;24;15;9
36;24;13;3;0;PONTEVEDRA;LALÍN;EIREXE;8;4;4
36;24;13;4;0;PONTEVEDRA;LALÍN;AS TECEDEIRAS;22;11;11
36;24;14;0;0;PONTEVEDRA;LALÍN;CATASÓS (SANTIAGO);388;173;215
36;24;14;1;0;PONTEVEDRA;LALÍN;ANTUÍN;15;6;9
36;24;14;2;0;PONTEVEDRA;LALÍN;BARRIO;13;7;6
36;24;14;3;0;PONTEVEDRA;LALÍN;BELELLE;72;32;40
36;24;14;4;0;PONTEVEDRA;LALÍN;CABREIRA;39;25;14
36;24;14;5;0;PONTEVEDRA;LALÍN;CASAS VELLAS;2;0;2
36;24;14;6;0;PONTEVEDRA;LALÍN;CATASÓS;48;26;22
36;24;14;7;0;PONTEVEDRA;LALÍN;CELEMÍN;14;5;9
36;24;14;8;0;PONTEVEDRA;LALÍN;CERREDO;26;7;19
36;24;14;9;0;PONTEVEDRA;LALÍN;COVÁS;35;12;23
36;24;14;10;0;PONTEVEDRA;LALÍN;DONFREÁN;51;21;30
36;24;14;11;0;PONTEVEDRA;LALÍN;PUXALLOS;19;8;11
36;24;14;12;0;PONTEVEDRA;LALÍN;QUINTELA;39;18;21
36;24;14;13;0;PONTEVEDRA;LALÍN;TORGUEDO;15;6;9
36;24;15;0;0;PONTEVEDRA;LALÍN;O CELLO (SAN MARTIÑO);43;21;22
36;24;15;1;0;PONTEVEDRA;LALÍN;O CELLO;25;10;15
36;24;15;2;0;PONTEVEDRA;LALÍN;CORNADO;11;6;5
36;24;15;3;0;PONTEVEDRA;LALÍN;PAZOS;7;5;2
36;24;16;0;0;PONTEVEDRA;LALÍN;CERCIO (SANTIAGO);204;100;104
36;24;16;1;0;PONTEVEDRA;LALÍN;CERCIO;90;48;42
36;24;16;2;0;PONTEVEDRA;LALÍN;CHARES;27;12;15
36;24;16;3;0;PONTEVEDRA;LALÍN;XIRÓN;11;7;4
36;24;16;4;0;PONTEVEDRA;LALÍN;LOUCENZO;33;13;20
36;24;16;5;0;PONTEVEDRA;LALÍN;MATO;26;12;14
36;24;16;6;0;PONTEVEDRA;LALÍN;SANTA BAIA;17;8;9
36;24;17;0;0;PONTEVEDRA;LALÍN;CRISTIMIL (SAN XURXO);163;87;76
